"Ð?a phuong";"2011 Dân s? trung bình (Nghìn ngu?i)";"2012 Dân s? trung bình (Nghìn ngu?i)";"2013 Dân s? trung bình (Nghìn ngu?i)";"2014 Dân s? trung bình (Nghìn ngu?i)";"2015 Dân s? trung bình (Nghìn ngu?i)";"2016 Dân s? trung bình (Nghìn ngu?i)";"2017 Dân s? trung bình (Nghìn ngu?i)";"2018 Dân s? trung bình (Nghìn ngu?i)";"2019 (*) Dân s? trung bình (Nghìn ngu?i)";"2020 (*) Dân s? trung bình (Nghìn ngu?i)";"2021 (*) Dân s? trung bình (Nghìn ngu?i)";"2022 (*) Dân s? trung bình (Nghìn ngu?i)"
"C? NU?C";88145.83;89202.89;90191.42;91203.76;92228.60;93250.70;94286.00;95385.20;96484.00;97582.69;98506.19;99474.42
"Ð?ng b?ng sông H?ng";20216.81;20525.36;20785.63;21080.59;21368.40;21669.20;21968.60;22290.70;22620.20;22920.18;23224.84;23454.20
"Hà N?i";6825.82;6991.43;7128.39;7285.53;7433.60;7590.80;7742.20;7914.50;8093.90;8246.54;8330.83;8435.65
"Vinh Phúc";1029.50;1047.39;1061.50;1076.82;1090.40;1106.10;1123.10;1138.40;1154.80;1171.20;1191.78;1197.62
"B?c Ninh";1072.38;1104.69;1139.89;1177.06;1218.50;1257.90;1297.80;1337.30;1378.60;1419.13;1462.95;1488.20
"Qu?ng Ninh";1181.53;1198.39;1209.58;1227.67;1241.60;1261.20;1285.20;1303.90;1324.80;1337.61;1350.85;1362.88
"H?i Duong";1747.83;1767.83;1779.67;1795.79;1812.80;1832.80;1850.60;1877.70;1896.90;1916.77;1936.78;1946.82
"H?i Phòng";1886.20;1912.94;1932.17;1950.71;1969.50;1985.30;2001.40;2016.40;2033.30;2053.49;2072.39;2088.02
"Hung Yên";1150.74;1162.91;1175.52;1188.65;1202.00;1215.50;1228.80;1242.40;1255.80;1269.09;1284.55;1290.85
"Thái Bình";1798.66;1806.48;1815.04;1822.43;1830.30;1838.10;1846.10;1854.10;1862.20;1870.24;1875.66;1878.54
"Hà Nam";795.65;800.81;807.44;815.07;824.30;832.20;839.80;847.10;854.50;861.83;875.22;878.00
"Nam Ð?nh";1816.81;1811.50;1806.41;1801.54;1796.90;1792.50;1788.20;1784.20;1780.90;1780.33;1836.27;1876.85
"Ninh Bình";911.69;920.99;930.03;939.31;948.50;956.80;965.40;974.70;984.50;993.92;1007.57;1010.70
"Trung du và mi?n núi phía B?c";11311.41;11441.84;11574.49;11739.21;11907.00;12061.10;12230.80;12404.90;12569.30;12725.78;12925.07;13023.19
"Hà Giang";749.54;763.50;778.96;792.47;806.70;820.40;833.70;846.50;858.10;870.24;887.09;892.72
"Cao B?ng";514.02;515.88;517.85;519.87;522.00;524.20;526.40;528.70;530.90;533.09;542.22;543.05
"B?c K?n";298.69;300.80;301.73;302.94;305.60;307.70;309.90;312.00;314.40;316.46;323.71;324.35
"Tuyên Quang";733.60;738.53;743.37;749.59;756.20;763.40;770.50;778.30;786.30;792.90;801.67;805.78
"Lào Cai";638.15;649.51;661.00;672.64;684.50;696.50;708.60;720.80;733.30;746.36;761.89;770.59
"Yên Bái";758.65;765.69;774.58;783.53;793.10;800.30;807.30;814.60;823.00;831.59;842.67;847.25
"Thái Nguyên";1139.44;1149.08;1155.99;1198.17;1230.80;1242.80;1256.10;1273.60;1290.90;1307.87;1323.15;1335.99
"L?ng Son";740.91;745.13;748.94;752.59;757.80;763.40;768.70;775.90;782.80;788.71;796.94;802.09
"B?c Giang";1586.02;1607.77;1630.65;1646.86;1667.00;1696.90;1736.80;1777.50;1810.40;1841.62;1875.24;1890.93
"Phú Th?";1329.34;1340.81;1355.24;1373.67;1392.30;1409.00;1430.50;1449.60;1466.40;1481.88;1507.54;1516.92
"Ði?n Biên";512.80;523.88;534.97;546.06;557.10;568.30;579.40;590.50;601.70;613.48;625.09;635.92
"Lai Châu";392.88;402.95;414.55;421.46;427.90;436.30;444.50;453.40;462.60;469.81;478.43;482.10
"Son La";1115.21;1129.87;1143.91;1159.74;1177.40;1194.90;1213.40;1233.10;1252.70;1270.56;1287.72;1300.13
"Hoà Bình";802.18;808.43;812.75;819.62;828.60;837.00;845.00;850.40;855.80;861.22;871.72;875.38
"B?c Trung B? và Duyên h?i mi?n Trung";19116.29;19253.84;19391.97;19511.45;19653.70;19802.50;19949.00;20085.10;20220.40;20343.18;20584.91;20661.65
"Thanh Hoá";3427.59;3449.44;3484.77;3507.09;3537.00;3570.80;3603.70;3631.30;3645.80;3664.94;3716.43;3722.06
"Ngh? An";2996.14;3035.99;3076.38;3116.33;3160.60;3203.10;3246.70;3291.40;3337.20;3365.20;3409.81;3419.99
"Hà Tinh";1236.71;1242.09;1247.56;1255.25;1261.30;1266.70;1274.20;1280.50;1290.30;1296.62;1314.06;1323.75
"Qu?ng Bình";854.57;859.79;865.02;870.49;875.60;880.60;885.70;891.10;896.60;901.98;910.66;913.86
"Qu?ng Tr?";604.72;607.77;611.00;614.37;617.90;621.60;625.40;629.70;633.40;637.39;647.79;650.95
"Th?a Thiên Hu?";1100.77;1105.78;1109.80;1111.58;1114.70;1118.00;1123.40;1125.40;1129.50;1133.59;1153.80;1160.22
"Ðà N?ng";968.65;996.29;1017.33;1033.93;1056.30;1080.30;1097.80;1114.40;1141.10;1169.48;1195.49;1220.19
"Qu?ng Nam";1436.83;1443.98;1451.37;1459.79;1468.20;1475.70;1483.30;1490.80;1497.50;1505.04;1518.48;1519.38
"Qu?ng Ngãi";1220.12;1221.83;1223.05;1224.52;1226.20;1227.50;1228.90;1230.50;1231.90;1233.40;1244.13;1245.65
"Bình Ð?nh";1487.46;1487.51;1487.55;1487.60;1487.60;1487.70;1487.70;1487.80;1487.80;1487.90;1508.32;1504.29
"Phú Yên";863.96;864.87;865.28;865.67;866.20;868.20;870.00;871.50;873.20;874.30;875.54;876.62
"Khánh Hoà";1170.24;1177.60;1184.92;1192.15;1198.40;1207.20;1216.30;1224.50;1232.80;1240.44;1248.06;1253.97
"Ninh Thu?n";567.85;571.31;573.28;575.42;578.30;581.50;585.40;588.90;591.00;593.64;596.05;598.68
"Bình Thu?n";1180.68;1189.59;1194.66;1197.26;1205.40;1213.60;1220.50;1227.30;1232.30;1239.26;1246.31;1252.06
"Tây Nguyên";5278.04;5358.01;5438.74;5509.20;5584.30;5657.10;5725.50;5796.40;5861.30;5932.11;6033.76;6092.43
"Kon Tum";451.61;462.71;473.25;484.22;495.90;507.80;520.10;532.40;543.40;555.64;568.78;579.91
"Gia Lai";1336.10;1359.97;1382.97;1403.13;1426.40;1447.20;1468.90;1495.70;1520.20;1541.83;1569.72;1590.98
"Ð?k L?k";1760.42;1777.26;1794.56;1805.83;1820.10;1836.40;1850.30;1861.50;1872.60;1886.94;1909.00;1918.44
"Ð?k Nông";512.67;529.37;548.10;564.96;580.50;594.40;604.90;615.40;625.80;637.91;664.42;670.56
"Lâm Ð?ng";1217.24;1228.71;1239.86;1251.07;1261.40;1271.30;1281.30;1291.40;1299.30;1309.79;1321.84;1332.53
"Ðông Nam B?";15005.55;15371.24;15730.65;16093.51;16448.50;16789.20;17132.60;17527.40;17930.30;18342.89;18315.00;18810.77
"Bình Phu?c";899.57;911.35;923.49;934.37;947.20;962.70;972.60;984.90;997.80;1011.08;1024.29;1034.67
"Tây Ninh";1090.06;1103.41;1111.40;1120.73;1129.90;1139.60;1151.10;1160.70;1171.70;1178.33;1181.91;1188.76
"Bình Duong";1699.93;1789.71;1873.48;1977.84;2069.20;2138.80;2227.20;2345.20;2456.30;2580.55;2596.79;2763.12
"Ð?ng Nai";2661.78;2719.05;2771.42;2831.29;2890.00;2951.40;3004.90;3055.10;3113.70;3177.40;3169.10;3255.81
"Bà R?a - Vtng Tàu";1040.80;1057.84;1076.85;1093.37;1104.30;1117.60;1127.20;1138.30;1152.20;1167.94;1176.08;1178.70
"TP.H? Chí Minh";7613.43;7789.87;7974.02;8135.91;8307.90;8479.10;8649.60;8843.20;9038.60;9227.60;9166.84;9389.72
"Ð?ng b?ng sông C?u Long";17217.72;17252.60;17269.94;17269.81;17266.70;17271.60;17279.50;17280.70;17282.50;17318.55;17422.62;17432.10
"Long An";1504.08;1549.76;1587.85;1611.70;1626.20;1645.20;1662.30;1678.90;1695.10;1713.66;1725.75;1734.26
"Ti?n Giang";1682.60;1692.46;1705.77;1716.09;1728.70;1740.10;1751.80;1759.10;1766.30;1772.54;1779.42;1785.24
"B?n Tre";1262.66;1266.73;1269.72;1272.51;1275.80;1278.60;1282.40;1286.00;1289.10;1292.40;1295.70;1298.01
"Trà Vinh";1004.35;1005.12;1005.62;1006.24;1006.90;1007.60;1008.10;1008.80;1009.30;1009.94;1018.63;1019.26
"Vinh Long";1024.85;1022.60;1023.84;1023.75;1023.20;1022.80;1022.60;1022.70;1022.60;1022.97;1029.02;1028.82
"Ð?ng Tháp";1653.23;1646.17;1639.21;1632.37;1625.60;1619.00;1612.50;1606.10;1598.80;1600.01;1601.31;1600.17
"An Giang";2097.54;2077.94;2051.62;2024.59;2000.90;1976.40;1954.20;1931.00;1907.40;1904.53;1909.51;1905.52
"Kiên Giang";1694.45;1698.15;1701.11;1703.40;1705.40;1708.70;1712.90;1718.10;1723.70;1728.87;1752.32;1751.76
"C?n Tho";1195.93;1200.93;1203.23;1205.72;1208.50;1214.60;1222.40;1227.70;1236.00;1240.73;1246.99;1252.35
"H?u Giang";752.73;750.73;747.88;744.95;742.40;740.10;737.30;734.90;732.20;729.78;729.89;729.47
"Sóc Trang";1273.93;1266.42;1254.98;1245.61;1236.30;1227.60;1218.30;1208.80;1199.50;1195.74;1206.82;1197.82
"B?c Liêu";866.87;872.14;877.04;882.16;887.30;892.80;897.70;903.00;908.20;913.48;918.51;921.81
"Cà Mau";1204.50;1203.46;1202.07;1200.74;1199.50;1198.10;1197.00;1195.60;1194.30;1193.89;1208.75;1207.63
