,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bà Rịa - Vũng Tàu,1148313,576228,572085,670650,334659,335991,477663,241569,236094
1,0-4 ,88210,46137,42073,51761,27073,24688,36449,19064,17385
2,5-9,98876,51663,47213,57640,30343,27297,41236,21320,19916
3,10-14,89181,46323,42858,49709,25896,23813,39472,20427,19045
4,15-19 ,75628,39262,36366,41126,21310,19816,34502,17952,16550
5,20-24 ,68802,36103,32699,39926,20463,19463,28876,15640,13236
6,25-29 ,98389,49143,49246,59597,29099,30498,38792,20044,18748
7,30-34 ,110489,55319,55170,68220,33340,34880,42269,21979,20290
8,35-39 ,100928,50837,50091,62176,31067,31109,38752,19770,18982
9,40-44 ,86189,43502,42687,50886,25602,25284,35303,17900,17403
10,45-49 ,82292,41922,40370,47807,24256,23551,34485,17666,16819
11,50-54 ,70197,34894,35303,40836,20423,20413,29361,14471,14890
12,55-59 ,60544,29440,31104,35512,17399,18113,25032,12041,12991
13,60-64 ,45696,21784,23912,26290,12458,13832,19406,9326,10080
14,65-69 ,27879,12738,15141,15452,6991,8461,12427,5747,6680
15,70-74 ,16471,6826,9645,8870,3636,5234,7601,3190,4411
16,75-79 ,11685,4400,7285,6176,2329,3847,5509,2071,3438
17,80-84 ,8332,2996,5336,4235,1515,2720,4097,1481,2616
18,85+,8525,2939,5586,4431,1459,2972,4094,1480,2614
