,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bắc Kạn,313905,160036,153869,65132,32300,32832,248773,127736,121037
1,0-4 ,27885,14369,13516,5720,2922,2798,22165,11447,10718
2,5-9,29033,14775,14258,6058,3052,3006,22975,11723,11252
3,10-14,22786,11580,11206,5215,2557,2658,17571,9023,8548
4,15-19 ,18250,9966,8284,3555,1899,1656,14695,8067,6628
5,20-24 ,18356,10442,7914,2531,1342,1189,15825,9100,6725
6,25-29 ,26785,14705,12080,4893,2451,2442,21892,12254,9638
7,30-34 ,28849,15708,13141,6375,3176,3199,22474,12532,9942
8,35-39 ,24815,13146,11669,5921,2992,2929,18894,10154,8740
9,40-44 ,23806,12242,11564,5250,2671,2579,18556,9571,8985
10,45-49 ,21292,10699,10593,4323,2200,2123,16969,8499,8470
11,50-54 ,20994,10262,10732,4008,1990,2018,16986,8272,8714
12,55-59 ,18289,8633,9656,4014,1862,2152,14275,6771,7504
13,60-64 ,11613,5431,6182,2871,1446,1425,8742,3985,4757
14,65-69 ,7037,2955,4082,1550,662,888,5487,2293,3194
15,70-74 ,5011,1972,3039,1066,428,638,3945,1544,2401
16,75-79 ,3949,1505,2444,777,308,469,3172,1197,1975
17,80-84 ,2822,979,1843,559,206,353,2263,773,1490
18,85+,2333,667,1666,446,136,310,1887,531,1356
