,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bạc Liêu,907236,453972,453264,251638,123704,127934,655598,330268,325330
1,0-4 ,52780,27411,25369,13705,7064,6641,39075,20347,18728
2,5-9,71916,37014,34902,18757,9670,9087,53159,27344,25815
3,10-14,69769,35902,33867,18806,9632,9174,50963,26270,24693
4,15-19 ,68891,35434,33457,18207,9321,8886,50684,26113,24571
5,20-24 ,61663,31846,29817,16386,8349,8037,45277,23497,21780
6,25-29 ,81188,42064,39124,21319,10756,10563,59869,31308,28561
7,30-34 ,86282,45229,41053,23023,11715,11308,63259,33514,29745
8,35-39 ,83253,42599,40654,23818,11974,11844,59435,30625,28810
9,40-44 ,68882,34776,34106,19671,9824,9847,49211,24952,24259
10,45-49 ,55765,27330,28435,16792,8164,8628,38973,19166,19807
11,50-54 ,51465,24549,26916,15757,7386,8371,35708,17163,18545
12,55-59 ,47229,22534,24695,14308,6680,7628,32921,15854,17067
13,60-64 ,39314,17755,21559,11442,4984,6458,27872,12771,15101
14,65-69 ,30042,13972,16070,8380,3627,4753,21662,10345,11317
15,70-74 ,15176,6604,8572,4492,1971,2521,10684,4633,6051
16,75-79 ,9459,3503,5956,2726,1007,1719,6733,2496,4237
17,80-84 ,7221,2631,4590,1988,677,1311,5233,1954,3279
18,85+,6941,2819,4122,2061,903,1158,4880,1916,2964
