,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Bến Tre,1288463,630492,657971,126300,60102,66198,1162163,570390,591773
1,0-4 ,78357,40385,37972,6766,3429,3337,71591,36956,34635
2,5-9,89775,46267,43508,7968,4141,3827,81807,42126,39681
3,10-14,88027,44891,43136,8075,4150,3925,79952,40741,39211
4,15-19 ,76655,39080,37575,7017,3598,3419,69638,35482,34156
5,20-24 ,59787,30977,28810,5911,2905,3006,53876,28072,25804
6,25-29 ,84325,42557,41768,8929,4386,4543,75396,38171,37225
7,30-34 ,102150,51712,50438,9790,4790,5000,92360,46922,45438
8,35-39 ,107781,54291,53490,10810,5242,5568,96971,49049,47922
9,40-44 ,102738,53005,49733,9781,4859,4922,92957,48146,44811
10,45-49 ,104841,53678,51163,10359,5063,5296,94482,48615,45867
11,50-54 ,109980,55040,54940,11170,5321,5849,98810,49719,49091
12,55-59 ,84755,40290,44465,9806,4457,5349,74949,35833,39116
13,60-64 ,69127,30246,38881,7818,3456,4362,61309,26790,34519
14,65-69 ,47761,20085,27676,4655,1850,2805,43106,18235,24871
15,70-74 ,28423,10912,17511,2594,969,1625,25829,9943,15886
16,75-79 ,22817,7397,15420,2196,669,1527,20621,6728,13893
17,80-84 ,15743,5007,10736,1327,400,927,14416,4607,9809
18,85+,15421,4672,10749,1328,417,911,14093,4255,9838
