,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Cần Thơ,1235171,612543,622628,860557,423514,437043,374614,189029,185585
1,0-4 ,71197,36803,34394,46811,24070,22741,24386,12733,11653
2,5-9,88596,45899,42697,57201,29639,27562,31395,16260,15135
3,10-14,87886,45307,42579,56743,29425,27318,31143,15882,15261
4,15-19 ,94240,47780,46460,69417,35010,34407,24823,12770,12053
5,20-24 ,103884,52519,51365,83827,41817,42010,20057,10702,9355
6,25-29 ,97930,49527,48403,71008,35475,35533,26922,14052,12870
7,30-34 ,104317,53339,50978,73316,36896,36420,31001,16443,14558
8,35-39 ,106513,54594,51919,74732,37813,36919,31781,16781,15000
9,40-44 ,94749,47992,46757,64989,32797,32192,29760,15195,14565
10,45-49 ,88494,44842,43652,60377,30365,30012,28117,14477,13640
11,50-54 ,82015,40578,41437,56115,27383,28732,25900,13195,12705
12,55-59 ,67435,31329,36106,46556,21572,24984,20879,9757,11122
13,60-64 ,53519,22664,30855,36811,15591,21220,16708,7073,9635
14,65-69 ,38776,16471,22305,25678,10788,14890,13098,5683,7415
15,70-74 ,20614,9090,11524,13642,5850,7792,6972,3240,3732
16,75-79 ,13782,5249,8533,9257,3497,5760,4525,1752,2773
17,80-84 ,10164,3663,6501,6767,2399,4368,3397,1264,2133
18,85+,11060,4897,6163,7310,3127,4183,3750,1770,1980
