,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Đắk Nông,622168,320713,301455,94770,48091,46679,527398,272622,254776
1,0-4 ,67589,34985,32604,9986,5208,4778,57603,29777,27826
2,5-9,68299,35483,32816,9846,5167,4679,58453,30316,28137
3,10-14,60959,31322,29637,8233,4116,4117,52726,27206,25520
4,15-19 ,50298,26190,24108,6659,3253,3406,43639,22937,20702
5,20-24 ,44490,24422,20068,5110,2713,2397,39380,21709,17671
6,25-29 ,53690,28221,25469,8833,4294,4539,44857,23927,20930
7,30-34 ,52986,26942,26044,9559,4663,4896,43427,22279,21148
8,35-39 ,49672,25039,24633,8906,4433,4473,40766,20606,20160
9,40-44 ,42934,22811,20123,6789,3674,3115,36145,19137,17008
10,45-49 ,38203,20439,17764,5955,3232,2723,32248,17207,15041
11,50-54 ,30522,15906,14616,4947,2598,2349,25575,13308,12267
12,55-59 ,23643,11743,11900,3990,2049,1941,19653,9694,9959
13,60-64 ,15243,7542,7701,2491,1230,1261,12752,6312,6440
14,65-69 ,9349,4232,5117,1401,670,731,7948,3562,4386
15,70-74 ,5559,2343,3216,802,336,466,4757,2007,2750
16,75-79 ,3485,1360,2125,496,209,287,2989,1151,1838
17,80-84 ,2480,890,1590,341,130,211,2139,760,1379
18,85+,2767,843,1924,426,116,310,2341,727,1614
