,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hà Tĩnh,1288866,640709,648157,251893,125693,126200,1036973,515016,521957
1,0-4 ,128559,66464,62095,25810,13540,12270,102749,52924,49825
2,5-9,117895,61076,56819,24906,12819,12087,92989,48257,44732
3,10-14,94947,48455,46492,18751,9606,9145,76196,38849,37347
4,15-19 ,80098,42168,37930,13629,7197,6432,66469,34971,31498
5,20-24 ,74378,40970,33408,12429,6583,5846,61949,34387,27562
6,25-29 ,99132,52780,46352,21123,10769,10354,78009,42011,35998
7,30-34 ,92531,48450,44081,21258,10970,10288,71273,37480,33793
8,35-39 ,82131,41330,40801,18828,9492,9336,63303,31838,31465
9,40-44 ,81262,40545,40717,16996,8476,8520,64266,32069,32197
10,45-49 ,81289,39794,41495,15482,7730,7752,65807,32064,33743
11,50-54 ,73821,35529,38292,12350,5979,6371,61471,29550,31921
12,55-59 ,78063,36421,41642,13550,6500,7050,64513,29921,34592
13,60-64 ,60262,28001,32261,11017,5220,5797,49245,22781,26464
14,65-69 ,48378,20679,27699,9253,3949,5304,39125,16730,22395
15,70-74 ,31440,13743,17697,6397,2823,3574,25043,10920,14123
16,75-79 ,21798,8819,12979,3955,1657,2298,17843,7162,10681
17,80-84 ,18217,7143,11074,2745,1187,1558,15472,5956,9516
18,85+,24665,8342,16323,3414,1196,2218,21251,7146,14105
