,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hải Phòng,2028514,1007767,1020747,924741,456882,467859,1103773,550885,552888
1,0-4 ,160975,85003,75972,67965,36172,31793,93010,48831,44179
2,5-9,184951,97029,87922,81888,42920,38968,103063,54109,48954
3,10-14,141947,73465,68482,66315,34341,31974,75632,39124,36508
4,15-19 ,112892,58021,54871,53302,27183,26119,59590,30838,28752
5,20-24 ,115717,59155,56562,53337,26696,26641,62380,32459,29921
6,25-29 ,164153,83367,80786,71404,34549,36855,92749,48818,43931
7,30-34 ,175336,88936,86400,78201,38008,40193,97135,50928,46207
8,35-39 ,159093,80373,78720,77954,38888,39066,81139,41485,39654
9,40-44 ,127483,63379,64104,61110,30118,30992,66373,33261,33112
10,45-49 ,129337,64443,64894,59423,29207,30216,69914,35236,34678
11,50-54 ,118589,57391,61198,51110,24757,26353,67479,32634,34845
12,55-59 ,136328,65173,71155,61928,30186,31742,74400,34987,39413
13,60-64 ,113376,53833,59543,54059,26374,27685,59317,27459,31858
14,65-69 ,70068,31155,38913,34336,15429,18907,35732,15726,20006
15,70-74 ,40475,18037,22438,20205,9093,11112,20270,8944,11326
16,75-79 ,27779,12004,15775,13352,6087,7265,14427,5917,8510
17,80-84 ,22935,8750,14185,9429,3843,5586,13506,4907,8599
18,85+,27080,8253,18827,9423,3031,6392,17657,5222,12435
