,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hậu Giang,733017,366206,366811,186098,91985,94113,546919,274221,272698
1,0-4 ,46507,23881,22626,12173,6274,5899,34334,17607,16727
2,5-9,61078,31547,29531,15263,7877,7386,45815,23670,22145
3,10-14,59089,30605,28484,14802,7712,7090,44287,22893,21394
4,15-19 ,48211,24790,23421,11860,6045,5815,36351,18745,17606
5,20-24 ,37922,19354,18568,8671,4349,4322,29251,15005,14246
6,25-29 ,52167,26801,25366,13327,6684,6643,38840,20117,18723
7,30-34 ,62126,32311,29815,16499,8429,8070,45627,23882,21745
8,35-39 ,65232,34418,30814,17347,8841,8506,47885,25577,22308
9,40-44 ,56664,28820,27844,14628,7455,7173,42036,21365,20671
10,45-49 ,52188,26587,25601,13812,6930,6882,38376,19657,18719
11,50-54 ,50706,25413,25293,13236,6531,6705,37470,18882,18588
12,55-59 ,42047,19837,22210,10748,5020,5728,31299,14817,16482
13,60-64 ,34129,14626,19503,8420,3586,4834,25709,11040,14669
14,65-69 ,26993,12295,14698,6502,2879,3623,20491,9416,11075
15,70-74 ,14467,6188,8279,3412,1409,2003,11055,4779,6276
16,75-79 ,9059,3219,5840,2114,726,1388,6945,2493,4452
17,80-84 ,7232,2549,4683,1614,550,1064,5618,1999,3619
18,85+,7200,2965,4235,1670,688,982,5530,2277,3253
