,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Hòa Bình,854131,426923,427208,134320,65723,68597,719811,361200,358611
1,0-4 ,73844,38648,35196,10809,5679,5130,63035,32969,30066
2,5-9,82840,43003,39837,11660,6050,5610,71180,36953,34227
3,10-14,66171,33923,32248,11142,5593,5549,55029,28330,26699
4,15-19 ,51142,26882,24260,8475,4360,4115,42667,22522,20145
5,20-24 ,46169,25002,21167,5575,2954,2621,40594,22048,18546
6,25-29 ,69057,36497,32560,9039,4229,4810,60018,32268,27750
7,30-34 ,79665,41597,38068,11135,5368,5767,68530,36229,32301
8,35-39 ,68080,34606,33474,11031,5351,5680,57049,29255,27794
9,40-44 ,60343,30130,30213,9551,4599,4952,50792,25531,25261
10,45-49 ,56229,27467,28762,9005,4315,4690,47224,23152,24072
11,50-54 ,54554,26250,28304,8263,4067,4196,46291,22183,24108
12,55-59 ,51457,24238,27219,9343,4576,4767,42114,19662,22452
13,60-64 ,37017,16922,20095,7707,3778,3929,29310,13144,16166
14,65-69 ,20556,8721,11835,4214,1864,2350,16342,6857,9485
15,70-74 ,13474,5141,8333,2947,1202,1745,10527,3939,6588
16,75-79 ,10244,3891,6353,2067,870,1197,8177,3021,5156
17,80-84 ,6503,2238,4265,1208,482,726,5295,1756,3539
18,85+,6786,1767,5019,1149,386,763,5637,1381,4256
