,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Kiên Giang,1723067,873236,849831,487991,244477,243514,1235076,628759,606317
1,0-4 ,113582,58628,54954,29949,15605,14344,83633,43023,40610
2,5-9,145010,74748,70262,37042,19129,17913,107968,55619,52349
3,10-14,139975,72188,67787,36901,19109,17792,103074,53079,49995
4,15-19 ,126105,65077,61028,35280,18147,17133,90825,46930,43895
5,20-24 ,115393,61015,54378,33017,17414,15603,82376,43601,38775
6,25-29 ,147336,78361,68975,41849,21767,20082,105487,56594,48893
7,30-34 ,159324,84560,74764,45714,23600,22114,113610,60960,52650
8,35-39 ,154040,80600,73440,45606,23269,22337,108434,57331,51103
9,40-44 ,130667,66956,63711,38600,19735,18865,92067,47221,44846
10,45-49 ,118325,60556,57769,36176,18309,17867,82149,42247,39902
11,50-54 ,106709,53119,53590,33045,16295,16750,73664,36824,36840
12,55-59 ,83466,39310,44156,25374,11754,13620,58092,27556,30536
13,60-64 ,63140,26721,36419,18900,7997,10903,44240,18724,25516
14,65-69 ,50677,22697,27980,13182,5647,7535,37495,17050,20445
15,70-74 ,27626,12284,15342,6792,2771,4021,20834,9513,11321
16,75-79 ,16601,6417,10184,4234,1555,2679,12367,4862,7505
17,80-84 ,12867,4800,8067,3144,1084,2060,9723,3716,6007
18,85+,12224,5199,7025,3186,1290,1896,9038,3909,5129
