,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Lào Cai,730420,371306,359114,171456,84993,86463,558964,286313,272651
1,0-4 ,78030,41240,36790,16644,8753,7891,61386,32487,28899
2,5-9,79756,41607,38149,16502,8664,7838,63254,32943,30311
3,10-14,70093,36129,33964,14742,7476,7266,55351,28653,26698
4,15-19 ,58426,30327,28099,11418,5665,5753,47008,24662,22346
5,20-24 ,55011,29193,25818,8223,4097,4126,46788,25096,21692
6,25-29 ,67321,35254,32067,14226,6839,7387,53095,28415,24680
7,30-34 ,64015,33607,30408,15781,7611,8170,48234,25996,22238
8,35-39 ,54552,28076,26476,15320,7708,7612,39232,20368,18864
9,40-44 ,44697,22403,22294,12335,6008,6327,32362,16395,15967
10,45-49 ,38700,19384,19316,11169,5582,5587,27531,13802,13729
11,50-54 ,34669,16987,17682,9842,4970,4872,24827,12017,12810
12,55-59 ,30090,14332,15758,8837,4419,4418,21253,9913,11340
13,60-64 ,21073,9807,11266,6677,3312,3365,14396,6495,7901
14,65-69 ,11780,5154,6626,3655,1636,2019,8125,3518,4607
15,70-74 ,7789,2945,4844,2123,802,1321,5666,2143,3523
16,75-79 ,5807,2225,3582,1580,633,947,4227,1592,2635
17,80-84 ,4160,1416,2744,1135,429,706,3025,987,2038
18,85+,4451,1220,3231,1247,389,858,3204,831,2373
