,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Long An,1688547,842074,846473,271497,131426,140071,1417050,710648,706402
1,0-4 ,106890,55527,51363,16109,8370,7739,90781,47157,43624
2,5-9,124951,64778,60173,18841,9847,8994,106110,54931,51179
3,10-14,122955,63368,59587,18857,9797,9060,104098,53571,50527
4,15-19 ,114646,59617,55029,17242,8826,8416,97404,50791,46613
5,20-24 ,109644,57669,51975,15733,8060,7673,93911,49609,44302
6,25-29 ,143196,73581,69615,21517,10626,10891,121679,62955,58724
7,30-34 ,152406,77550,74856,22655,10929,11726,129751,66621,63130
8,35-39 ,150167,76066,74101,22894,11189,11705,127273,64877,62396
9,40-44 ,132298,67935,64363,21198,10384,10814,111100,57551,53549
10,45-49 ,122018,62156,59862,21272,10323,10949,100746,51833,48913
11,50-54 ,112807,56444,56363,21191,10187,11004,91616,46257,45359
12,55-59 ,92024,43613,48411,17958,8454,9504,74066,35159,38907
13,60-64 ,72150,31429,40721,13925,6100,7825,58225,25329,32896
14,65-69 ,50717,22427,28290,8503,3571,4932,42214,18856,23358
15,70-74 ,28501,11534,16967,4818,1861,2957,23683,9673,14010
16,75-79 ,23223,8153,15070,3883,1339,2544,19340,6814,12526
17,80-84 ,14747,5039,9708,2455,806,1649,12292,4233,8059
18,85+,15207,5188,10019,2446,757,1689,12761,4431,8330
