,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Nghệ An,3327791,1672901,1654890,490038,239495,250543,2837753,1433406,1404347
1,0-4 ,333441,174071,159370,47904,24913,22991,285537,149158,136379
2,5-9,308588,160952,147636,47046,24743,22303,261542,136209,125333
3,10-14,237381,122184,115197,34987,17828,17159,202394,104356,98038
4,15-19 ,210198,108372,101826,29210,14785,14425,180988,93587,87401
5,20-24 ,251222,131688,119534,30573,14257,16316,220649,117431,103218
6,25-29 ,313481,168997,144484,39484,18576,20908,273997,150421,123576
7,30-34 ,274477,148508,125969,40718,19943,20775,233759,128565,105194
8,35-39 ,226265,115960,110305,37667,18694,18973,188598,97266,91332
9,40-44 ,208327,103430,104897,32994,16340,16654,175333,87090,88243
10,45-49 ,198825,97029,101796,28523,13872,14651,170302,83157,87145
11,50-54 ,181715,87438,94277,24808,11489,13319,156907,75949,80958
12,55-59 ,175024,81260,93764,28316,13734,14582,146708,67526,79182
13,60-64 ,132745,61963,70782,23757,11322,12435,108988,50641,58347
14,65-69 ,98686,42660,56026,17730,7746,9984,80956,34914,46042
15,70-74 ,62418,26993,35425,11856,5159,6697,50562,21834,28728
16,75-79 ,42103,16785,25318,6441,2987,3454,35662,13798,21864
17,80-84 ,32664,12217,20447,3918,1654,2264,28746,10563,18183
18,85+,40231,12394,27837,4106,1453,2653,36125,10941,25184
