,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Ninh Bình,982487,489334,493153,206524,102138,104386,775963,387196,388767
1,0-4 ,95138,49946,45192,20077,10586,9491,75061,39360,35701
2,5-9,87421,45405,42016,19504,10222,9282,67917,35183,32734
3,10-14,68038,34739,33299,15052,7774,7278,52986,26965,26021
4,15-19 ,55878,29377,26501,10719,5718,5001,45159,23659,21500
5,20-24 ,53734,28449,25285,8142,4221,3921,45592,24228,21364
6,25-29 ,85930,44713,41217,15473,7149,8324,70457,37564,32893
7,30-34 ,83947,44054,39893,18195,8832,9363,65752,35222,30530
8,35-39 ,71315,36803,34512,17313,8674,8639,54002,28129,25873
9,40-44 ,57331,28456,28875,13796,6840,6956,43535,21616,21919
10,45-49 ,57816,28423,29393,12484,6291,6193,45332,22132,23200
11,50-54 ,52771,25626,27145,10412,5099,5313,42359,20527,21832
12,55-59 ,62119,29115,33004,13008,6288,6720,49111,22827,26284
13,60-64 ,50620,23552,27068,11403,5518,5885,39217,18034,21183
14,65-69 ,35624,15723,19901,7863,3516,4347,27761,12207,15554
15,70-74 ,23298,10178,13120,5664,2483,3181,17634,7695,9939
16,75-79 ,13594,5650,7944,2922,1302,1620,10672,4348,6324
17,80-84 ,11301,4133,7168,2007,818,1189,9294,3315,5979
18,85+,16612,4992,11620,2490,807,1683,14122,4185,9937
