,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Phú Thọ,1463726,726909,736817,265391,129978,135413,1198335,596931,601404
1,0-4 ,131768,69931,61837,21627,11584,10043,110141,58347,51794
2,5-9,140140,73960,66180,24861,13303,11558,115279,60657,54622
3,10-14,107200,55764,51436,21263,11129,10134,85937,44635,41302
4,15-19 ,84775,44106,40669,14935,7783,7152,69840,36323,33517
5,20-24 ,80502,41628,38874,11208,5393,5815,69294,36235,33059
6,25-29 ,117681,60366,57315,17784,8328,9456,99897,52038,47859
7,30-34 ,124736,63699,61037,21138,9879,11259,103598,53820,49778
8,35-39 ,113657,57445,56212,22712,11151,11561,90945,46294,44651
9,40-44 ,96571,48354,48217,18564,9137,9427,78007,39217,38790
10,45-49 ,88955,43882,45073,16297,7974,8323,72658,35908,36750
11,50-54 ,88064,42733,45331,15333,7442,7891,72731,35291,37440
12,55-59 ,88849,41568,47281,17473,8385,9088,71376,33183,38193
13,60-64 ,69570,32110,37460,15715,7353,8362,53855,24757,29098
14,65-69 ,43821,19452,24369,9965,4494,5471,33856,14958,18898
15,70-74 ,27588,11468,16120,6579,2784,3795,21009,8684,12325
16,75-79 ,20048,8020,12028,4038,1776,2262,16010,6244,9766
17,80-84 ,15795,5647,10148,2620,1052,1568,13175,4595,8580
18,85+,24006,6776,17230,3279,1031,2248,20727,5745,14982
