,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Quảng Ngãi,1231697,611914,619783,200933,98136,102797,1030764,513778,516986
1,0-4 ,98094,50810,47284,16202,8428,7774,81892,42382,39510
2,5-9,100845,52183,48662,17412,8928,8484,83433,43255,40178
3,10-14,96820,49836,46984,15856,8122,7734,80964,41714,39250
4,15-19 ,78786,41156,37630,12006,5937,6069,66780,35219,31561
5,20-24 ,78705,41826,36879,10213,4928,5285,68492,36898,31594
6,25-29 ,103283,53855,49428,15358,7279,8079,87925,46576,41349
7,30-34 ,94912,49375,45537,16055,7783,8272,78857,41592,37265
8,35-39 ,88620,45381,43239,16347,8170,8177,72273,37211,35062
9,40-44 ,84535,43419,41116,15206,7822,7384,69329,35597,33732
10,45-49 ,85798,43163,42635,14227,7110,7117,71571,36053,35518
11,50-54 ,82753,40680,42073,14432,7085,7347,68321,33595,34726
12,55-59 ,58252,27072,31180,10401,5006,5395,47851,22066,25785
13,60-64 ,51016,22831,28185,9136,4280,4856,41880,18551,23329
14,65-69 ,36382,15647,20735,5268,2230,3038,31114,13417,17697
15,70-74 ,27562,10885,16677,4150,1675,2475,23412,9210,14202
16,75-79 ,22732,8431,14301,3181,1206,1975,19551,7225,12326
17,80-84 ,20326,7380,12946,2774,1148,1626,17552,6232,11320
18,85+,22276,7984,14292,2709,999,1710,19567,6985,12582
