,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,TOÀN QUỐC,96208984,47881061,48327923,33122548,16268095,16854453,63086436,31612966,31473470
1,0-4,7819326,4100479,3718847,2436970,1279623,1157347,5382356,2820856,2561500
2,5-9,8332719,4354887,3977832,2638637,1384755,1253882,5694082,2970132,2723950
3,10-14,7219837,3737030,3482807,2301523,1193320,1108203,4918314,2543710,2374604
4,15-19 ,6506217,3352386,3153831,2271322,1144545,1126777,4234895,2207841,2027054
5,20-24 ,6675703,3417149,3258554,2535087,1235901,1299186,4140616,2181248,1959368
6,25-29 ,8447977,4301210,4146767,3064686,1486402,1578284,5383291,2814808,2568483
7,30-34 ,8393810,4276404,4117406,3064953,1501326,1563627,5328857,2775078,2553779
8,35-39 ,7692386,3891950,3800436,2860531,1418373,1442158,4831855,2473577,2358278
9,40-44 ,6684119,3366147,3317972,2378278,1185366,1192912,4305841,2180781,2125060
10,45-49 ,6257471,3132172,3125299,2180612,1086509,1094103,4076859,2045663,2031196
11,50-54 ,5662010,2772157,2889853,1888768,920327,968441,3773242,1851830,1921412
12,55-59 ,5108724,2402096,2706628,1754005,831261,922744,3354719,1570835,1783884
13,60-64 ,3992034,1810497,2181537,1405242,645948,759294,2586792,1164549,1422243
14,65-69 ,2685271,1167214,1518057,893601,384987,508614,1791670,782227,1009443
15,70-74 ,1640850,687339,953511,542687,225971,316716,1098163,461368,636795
16,75-79 ,1171811,453972,717839,374648,150984,223664,797163,302988,494175
17,80-84 ,907732,327330,580402,266768,99825,166943,640964,227505,413459
18,85+,1010987,330642,680345,264230,92672,171558,746757,237970,508787
