,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Thái Nguyên,1286751,629197,657554,410267,192872,217395,876484,436325,440159
1,0-4 ,112135,58862,53273,31638,16658,14980,80497,42204,38293
2,5-9,115275,60053,55222,33191,17178,16013,82084,42875,39209
3,10-14,87841,45109,42732,26256,13391,12865,61585,31718,29867
4,15-19 ,84036,42683,41353,28081,13770,14311,55955,28913,27042
5,20-24 ,93161,43471,49690,39643,16488,23155,53518,26983,26535
6,25-29 ,113378,54065,59313,39464,16346,23118,73914,37719,36195
7,30-34 ,113426,56168,57258,35011,15312,19699,78415,40856,37559
8,35-39 ,100973,51328,49645,30892,15320,15572,70081,36008,34073
9,40-44 ,88816,44708,44108,25805,12583,13222,63011,32125,30886
10,45-49 ,77427,37950,39477,23171,11099,12072,54256,26851,27405
11,50-54 ,74158,35728,38430,20701,9945,10756,53457,25783,27674
12,55-59 ,72179,34355,37824,22428,10798,11630,49751,23557,26194
13,60-64 ,55571,25853,29718,19702,9577,10125,35869,16276,19593
14,65-69 ,35623,15267,20356,12858,5556,7302,22765,9711,13054
15,70-74 ,22011,8951,13060,8047,3402,4645,13964,5549,8415
16,75-79 ,16263,6476,9787,6080,2694,3386,10183,3782,6401
17,80-84 ,11378,4153,7225,3633,1451,2182,7745,2702,5043
18,85+,13100,4017,9083,3666,1304,2362,9434,2713,6721
