,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Tuyên Quang,784811,395146,389665,108287,52877,55410,676524,342269,334255
1,0-4 ,74488,39200,35288,8880,4535,4345,65608,34665,30943
2,5-9,80660,41837,38823,9880,5142,4738,70780,36695,34085
3,10-14,61603,31557,30046,8482,4255,4227,53121,27302,25819
4,15-19 ,48187,25094,23093,5997,3176,2821,42190,21918,20272
5,20-24 ,43132,22865,20267,3834,1921,1913,39298,20944,18354
6,25-29 ,64031,33754,30277,7345,3493,3852,56686,30261,26425
7,30-34 ,67523,36236,31287,8720,4261,4459,58803,31975,26828
8,35-39 ,61718,32251,29467,9117,4499,4618,52601,27752,24849
9,40-44 ,56765,28658,28107,7843,3886,3957,48922,24772,24150
10,45-49 ,51376,25921,25455,7224,3628,3596,44152,22293,21859
11,50-54 ,48110,23521,24589,6749,3193,3556,41361,20328,21033
12,55-59 ,41833,19684,22149,7512,3586,3926,34321,16098,18223
13,60-64 ,30590,13830,16760,6207,2931,3276,24383,10899,13484
14,65-69 ,18919,8114,10805,3816,1708,2108,15103,6406,8697
15,70-74 ,13387,5160,8227,2801,1147,1654,10586,4013,6573
16,75-79 ,8588,3218,5370,1616,703,913,6972,2515,4457
17,80-84 ,6408,2212,4196,1094,441,653,5314,1771,3543
18,85+,7493,2034,5459,1170,372,798,6323,1662,4661
