,Region,all_total,all_m,all_f,city_total,city_m,city_f,rural_total,rural_m,rural_f
0,Vĩnh Phúc,1151154,573621,577533,294994,145844,149150,856160,427777,428383
1,0-4 ,109762,59029,50733,26759,14455,12304,83003,44574,38429
2,5-9,117349,62876,54473,30362,16273,14089,86987,46603,40384
3,10-14,90872,47473,43399,24412,12766,11646,66460,34707,31753
4,15-19 ,68312,35238,33074,18367,9044,9323,49945,26194,23751
5,20-24 ,69980,35332,34648,18807,9063,9744,51173,26269,24904
6,25-29 ,96506,48737,47769,23326,11317,12009,73180,37420,35760
7,30-34 ,101364,51742,49622,26093,12768,13325,75271,38974,36297
8,35-39 ,91449,46527,44922,25473,12637,12836,65976,33890,32086
9,40-44 ,74639,37511,37128,20310,10209,10101,54329,27302,27027
10,45-49 ,65188,32292,32896,16575,8281,8294,48613,24011,24602
11,50-54 ,62912,30493,32419,14370,7120,7250,48542,23373,25169
12,55-59 ,63106,29559,33547,15125,7196,7929,47981,22363,25618
13,60-64 ,47088,21824,25264,12304,5814,6490,34784,16010,18774
14,65-69 ,29260,12617,16643,7919,3360,4559,21341,9257,12084
15,70-74 ,20806,8616,12190,5691,2386,3305,15115,6230,8885
16,75-79 ,14517,5561,8956,3576,1423,2153,10941,4138,6803
17,80-84 ,12237,4167,8070,2586,936,1650,9651,3231,6420
18,85+,15807,4027,11780,2939,796,2143,12868,3231,9637
